Date,SX5E,ADS.DE,AKZA.AS,ALV.DE,ASML.AS,ATO.PA,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BN.PA,BNP.PA,CA.PA,CAP.PA,CO.PA,CON.DE,CRBN.AS,CS.PA,DAI.DE,DBK.DE,DSY.PA,DTE.DE,EN.PA,ENGI.PA,EO.PA,EXO.MI,G.MI,GFC.PA,HEI.DE,HEIA.AS,RMS.PA
2000/2/3,5046.12,7.520858765,20.67796516,154.6013641,34.71047974,95.91265106,6.879664421,22.67853546,11.61574459,11.12562752,9.796170235,14.06421852,49.27078247,151.8553467,44.85285187,10.15592957,10.9841938,5.352778435,29.38491821,33.88363647,27.38087082,27.92101669,25.483675,13.83593082,33.53910828,25.24389458,14.82936287,16.04238892,40.06180191,27.4626503,32.92926788
2000/2/4,5119.79,7.520858765,20.07664108,155.5188904,35.16320801,101.0970078,6.788249493,22.0656147,11.62431526,11.02172565,9.711762428,14.01158714,49.54018402,157.0249023,45.76644516,9.908983231,10.67907524,5.352778435,29.37192535,33.83057404,27.69057655,28.48812485,27.64213753,13.6778059,33.26530838,24.71557045,14.44165707,15.74252605,38.3570137,26.55586815,30.14811134
2000/2/7,5041.08,8.084265709,20.27061272,156.8492432,33.98102188,100.52845,6.580204964,21.47933388,11.48753929,10.86588478,9.596281052,13.62579918,49.09118652,152.1784515,45.89696121,9.989296913,10.52792931,5.27519846,29.03844833,33.54493332,27.36265945,26.88690948,27.85101318,13.66199017,32.82042313,24.45132828,14.27202892,15.74252605,36.83493042,26.65949821,31.7055645
2000/2/8,5176.17,7.626987934,20.1493969,156.0693665,37.09995651,103.057045,6.785098076,23.07829666,11.62431526,10.82259369,9.773989677,13.660882,46.57674789,160.9666901,45.67942429,10.26095295,10.63216686,5.197621346,28.73528671,33.78974915,31.64376259,29.42215919,27.81619835,13.63827133,32.17012787,26.82895088,14.59672737,15.6675787,38.66144943,27.38492966,31.28284073
2000/2/9,5191.79,7.20639801,19.66445923,161.6432495,36.62207031,97.36729431,6.792978287,23.34481621,11.58154011,10.82259369,9.605169296,13.29259396,45.11001205,160.2558899,43.06917953,10.09425735,10.63216686,5.042463303,28.47543716,33.99381256,33.22868729,30.85655975,29.03467369,13.29830647,32.20436478,26.41800499,14.75665092,15.59260082,37.68732071,26.65949821,33.37426758
2000/2/10,5174.35,7.324320316,18.81578445,167.4465637,36.59692001,100.52845,6.934827328,23.71787262,12.9918375,11.19056129,9.56961441,13.25754166,42.50577927,155.0863495,44.28728867,10.47080612,10.68428612,5.042463303,28.97348595,34.87125015,33.59304047,30.68977928,29.24355888,13.28249645,30.80122757,25.56678581,14.65973759,16.04238892,37.26115036,25.83044243,32.30629349
2000/2/11,5195.67,6.950897217,18.67030144,170.6578674,35.0123024,106.7875748,6.95531559,22.91841698,12.73542595,11.10398006,9.240865707,13.74855995,45.02019501,172.5335693,42.85166168,10.24856663,10.73640537,4.964885235,28.57071304,34.99366379,34.24886322,29.7223835,29.52206993,13.44061661,31.13657951,26.27122307,14.58702278,16.34224892,37.13935852,24.63866806,33.37426758
2000/2/14,5166.08,6.747807503,19.25222969,172.0295258,34.270298,107.4201431,6.808739662,23.29152679,12.13714504,10.97410965,9.35190773,13.6783886,44.15213013,165.2315979,42.50363159,10.12509346,10.71034622,5.003675461,28.99514008,34.5243454,33.73877335,29.12193108,31.54127312,13.36155415,30.39049721,26.41800499,14.15091228,16.29727936,36.53049088,24.25004005,31.83906364
2000/2/15,5043.33,6.511962891,19.10675049,170.1991119,33.02524948,103.057045,6.460422039,21.98566437,12.27386761,10.82259369,9.560723305,13.59070873,42.35611343,155.0863495,40.89396286,10.4029398,10.71034622,5.081252575,28.70930099,33.05522537,34.24886322,28.021101,29.93984604,13.18762112,28.75463104,25.86035347,13.9570303,16.34224892,37.74822235,24.79410934,32.03929901
2000/2/16,5063.73,6.721601486,19.64019394,169.2816162,32.92464828,101.1601639,6.933250904,22.70524406,12.37643719,11.08233738,9.55183506,13.90636921,41.30843735,149.9167938,40.93747711,10.29798222,10.71034622,5.120043278,28.47543716,33.2103157,39.27688599,28.35468864,30.00946617,13.26668072,28.57662392,27.94441032,14.31078053,16.32725716,37.13935852,26.01179314,33.81928253
2000/2/17,5114.47,6.878832817,20.90103722,162.400238,33.18876266,103.057045,7.328852177,23.39811325,11.49610329,10.90917397,9.507427216,14.76566982,42.02684021,151.8553467,40.82870483,10.02013302,10.42369938,5.081252575,28.44945145,32.81040192,39.31332397,29.02185249,30.00946617,13.44061661,29.4459095,30.1459198,14.53856754,16.32725716,36.80450058,26.63358879,30.83782387
2000/2/18,5079.59,7.140884399,19.93115807,161.5286255,32.32100677,99.01062775,7.47069931,23.44072914,11.50461197,11.34207916,9.511872292,14.62537003,38.64434052,151.5322723,39.5888443,10.12509346,9.720097542,4.964885235,28.15062714,32.87161255,35.32369995,29.68902016,30.81018066,13.75686932,29.02159119,31.99513435,14.10240269,16.32725716,35.31282806,25.90816307,30.92680359
2000/2/21,5033.33,6.774012566,20.17845154,164.0058899,31.31487274,96.67156219,7.407654285,23.13158417,11.5730257,11.92649746,9.41857338,14.27462387,39.36274338,149.9167938,39.5888443,10.2053442,10.16310406,4.964885235,27.93408203,34.77736664,32.53641129,29.18530464,30.13131332,13.69361973,29.77451515,32.84643936,14.06849766,16.11734009,36.3782692,26.11542892,32.23954773
