Date,ADS.DE,AKZA.AS,ALV.DE,ASML.AS,ATO.PA,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BN.PA,BNP.PA,CA.PA,CAP.PA,CO.PA,CON.DE,CRBN.AS,CS.PA,DAI.DE,DBK.DE,DSY.PA,DTE.DE,EN.PA,ENGI.PA,EO.PA,EXO.MI,G.MI,GFC.PA,HEI.DE,HEIA.AS,RMS.PA
2000/2/22,2182960,2271467,636163,7015507,117786,3450000,2351117,31875,2684297,6217010,5930354,2587872,409848,220221,170903,172900,10065008,2157503,6184625,1027150,4743499,13246300,3828000,45565,477530,5965080,14534,10872,1494672,39897
2000/2/23,2444560,1999823,411929,6691645,109991,3523542,1751200,47955,1734513,1663806,4931393,2564994,250522,167235,462609,578401,9888420,2234083,3230346,388002,5024214,7344000,2579500,22521,516486,6024370,12184,15641,1361556,69696
2000/2/24,3915056,1905333,443004,3790866,149149,2818076,1396945,25428,1357588,2633885,6504192,2790324,521553,195136,360328,130600,11912899,2596512,2513411,317190,6279781,8622600,1931500,13093,737231,5415960,32633,13193,2832056,57138
2000/2/25,571084,2629067,363487,4275648,176236,2533538,1391780,57495,1432859,16930912,13686986,4707810,306823,201141,370880,494100,21124704,3649464,2179224,480640,5680605,4451400,4276500,15740,429698,5782590,6480,19841,1654063,67137
2000/2/28,5663504,1226400,448594,6136691,152376,3393016,1247524,139017,965135,3017671,7681418,3362946,253021,185696,129995,517200,18035535,3436325,1936501,356146,5626368,7971600,3370000,24553,128658,5855190,17814,17462,1362610,46977
2000/2/29,5803664,2642133,289138,7087296,196316,3165144,1732620,101286,925821,5879345,7092649,4689362,1585282,466019,118968,464700,15163888,4008409,1418264,427232,3413293,7572700,3879500,30072,295873,5741230,19062,29564,1439400,68526
2000/3/1,3322672,4664178,658385,16655357,143617,5935130,3097061,183357,1452926,9535839,4476013,1932456,892821,358223,81361,521500,14282651,4011217,2493736,578430,6043195,13760400,3367500,37980,320385,3248520,400672,34742,2544102,23763
2000/3/2,8995840,2405512,477406,7627829,85210,3471236,2220955,75960,1201261,3603506,4865164,1370632,575406,99379,111167,286000,12862120,3341125,2479582,276528,8499169,13321800,3469500,52724,549611,4097060,12502,26962,2989350,70377
2000/3/3,7313136,2003733,600932,9152043,103204,2600134,1813243,145272,965563,5150942,12559746,976322,406388,126931,155001,476600,15719350,2948107,2317770,272444,9163242,18994900,4731000,13017,403198,3767060,9840,18465,1793021,82797
2000/3/6,4885584,1353156,309346,11081635,73713,3349786,1230289,44370,941155,2019258,11654701,1160918,415670,507895,124242,269762,11577058,1253672,1381933,327688,4260463,5706700,7053500,16385,257183,8685820,8390,8197,1352076,39672
2000/3/7,2128992,1208654,1618706,7342357,77281,3693850,1856837,29889,1126066,6098283,16058878,1491188,341986,316570,161259,266927,19507685,2405787,11287103,181392,5114895,8698600,4726500,12407,221010,8522690,13780,12704,789728,52551
2000/3/8,768724,894400,1839230,7327529,119329,3783566,1992119,51300,1344057,10987965,6276112,1181982,680966,225084,124157,163600,12454711,3794965,6748125,390306,7298800,7804700,2384500,32135,272950,3815900,9412,7586,2941952,79296
